"V1" "V2" "V3" "V4" "V5" "V6"
"SV161" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium"
"SV162" "Bacteria" "Actinobacteria" "Actinobacteria" "Frankiales" "Geodermatophilaceae" "Geodermatophilus"
"SV163" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV164" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Leptotrichiaceae" "Streptobacillus"
"SV165" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Rhodopseudomonas"
"SV166" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV167" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus"
"SV168" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Psychrobacter"
"SV169" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV170" "Bacteria" "Proteobacteria" "Betaproteobacteria" NA NA NA
"SV171" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Phyllobacteriaceae" "Ahrensia"
"SV172" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Phyllobacteriaceae" "Hoeflea"
"SV173" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Microbacteriaceae" NA
"SV174" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Sellimonas"
"SV175" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Microbacteriaceae" NA
"SV176" "Bacteria" "Proteobacteria" "Epsilonproteobacteria" "Campylobacterales" "Helicobacteraceae" "Helicobacter"
"SV177" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionIII" "FamilyI" "Phormidium"
